name_jp,name_en,name_en_literal,name_en_gtranslate,reference,tag,parent_jp0,parent_en0,parent_jp1,parent_en1,author_jp,author_en,video0,video1,video2,video3,video4,video5
OAD - 関西,OAD - Kansai Style,OAD - kansai,OAD - Kansai,,0A,,,,,,,https://youtu.be/pYSWfadMxmk,https://youtu.be/n27FW188GUQ?t=198,,,,
YDD,YDD,YDD,YDD,,0A,,,,,,,https://youtu.be/v5uMBLlSWn0?t=255,,,,,
アマテラス,Amaterasu,amaterasu,Amaterasu,,0A,,,,,,,https://youtu.be/lMNdt4ZsV48,https://youtu.be/n27FW188GUQ?t=210,https://youtu.be/9HsYoiYeep0?t=144,,,
サンダースネイク,Thundersnake,sanda suneiku,thunder snake,,0A,,,,,,,https://youtu.be/IDStuN9abN0,https://youtu.be/n27FW188GUQ?t=11,https://youtu.be/rLZW_jPb_ZI?t=3,https://youtu.be/DshPk4EXjo0?si=hBfR8DeedaYM6Nbw,https://youtu.be/gmq3H-F9hmk?si=k6esIcLhG3p32Mxc&t=469,
スネイクサンダー,Snakethunder,suneiku sanda,snake thunder,,0A,,,,,,,https://youtu.be/gj6I50jU6V0?t=193,https://youtu.be/n27FW188GUQ?t=193,,,,
ソイヤ,Soiya,so iya,Soya,,0A,,,,,,,https://youtu.be/j_xYmdJLHpE,,,,,
ニーハイオーハイ,Ni-Hai-O-Hai,nihai o hai,knee high ojai,,0A,,,,,,,https://youtu.be/j_xYmdJLHpE,,,,,
ロサリオ,Rosario,rosario,rosario,,0A,,,,,,,https://youtu.be/m5dR7mC73hw,https://youtu.be/n27FW188GUQ?t=204,,,,
ロサンゼルス,Los Angeles,rosanzerusu,Los Angeles,,0A,,,,,,,https://youtu.be/zElYjtpYN4k,https://youtu.be/n27FW188GUQ?t=206,,,,
ロマンス,Romance,romansu,romance,,0A,,,,,,,https://youtu.be/gj6I50jU6V0?t=187,https://youtu.be/n27FW188GUQ?t=186,https://youtu.be/zm2mpwCKzHc?t=641,,,
イザナギ,Izanagi,izanagi,Izanagi,,0B,,AMATERASU,,,,,https://youtu.be/QKSP7cRSGmM?t=209,https://youtu.be/gmq3H-F9hmk?si=IL74pxSqUgjptvDG&t=419,,,,
イザナミ,Izanami,izanami,Izanami,,0B,,AMATERASU,,,,,https://youtu.be/rLZW_jPb_ZI?t=304,,,,,
コトアマツカミ,Kotoamatsukami,koto ama tsukami,Kotoamatsukami,,0B,,,,,,,https://youtu.be/RNGY1aAbjjs?t=91,,,,,
シャオリー,Shaori,shaori,Xiaoli,,0B,,,,,,,https://youtu.be/q06pGNnOM3w?t=82,https://youtu.be/zm2mpwCKzHc?t=581,https://youtu.be/gmq3H-F9hmk?si=1Xse7n9z0hhboxWx&t=285,,,
シュナイザー,Schneider,shunaiza,schneizer,,0B,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=1133,https://youtu.be/9HsYoiYeep0?t=174,,,,
スサノオ,Susanoo,susanoo,Susanoo,,0B,,,,,,,https://youtu.be/rLZW_jPb_ZI?t=6m6s,https://youtu.be/9HsYoiYeep0?t=232,,,,
ツクヨミ,Tsukuyomi,tsukuyomi,Tsukuyomi,,0B,,AMATERASU,,,,,https://youtu.be/rLZW_jPb_ZI?t=315,https://youtu.be/Rj8O1f2Mcd8?t=114,,,,
ムラマサ,Muramasa,mu rama sa,Muramasa,,0B,,,,,,,https://youtu.be/5qy5wK6ux5I?t=44,https://youtu.be/n27FW188GUQ?t=82,https://youtu.be/9HsYoiYeep0?t=82,,,
レクイエム,Requiem,rekuiemu,requiem,,0B,,,,,,,https://youtu.be/rBt2oYZZmn4?t=39,,,,,
神威,Kamui,shin-i,Divine power,,0B,,,,,,,https://youtu.be/_-jP5N4NluQ?t=668,,,,,
センターイザナギ,Center Izanagi,senta izanagi,Center Izanagi,,0C,,IZANAGI,,,,,https://youtu.be/rLZW_jPb_ZI?t=8m54s,,,,,
センターシャオリー,Center Shaori,senta shaori,center shaoli,,0C,,SHAORI,,,,,https://youtu.be/3-s74iLW0EE?t=14,https://youtu.be/9HsYoiYeep0?t=128,,,,
センタースネイク,Center Snake,senta suneiku,center snake,,0C,,SNAKE,,,,,https://youtu.be/rLZW_jPb_ZI?t=8m43s,,,,,
センターツクヨミ,Center Tsukuyomi,sen tatsu kuyomi,Center Tsukuyomi,,0C,,AMATERASU,,,,,https://youtu.be/rLZW_jPb_ZI?t=8m54s,,,,,
